timestamp;ewma;instruction
19;-49.0;SLOW
21;-49.0;SLOW
24;-48.25;SLOW
26;-48.25;SLOW
29;-48.0625;SLOW
31;-48.0625;SLOW
35;-57.015625;FASTER
37;-57.015625;FASTER
39;-64.50390625;FASTER
41;-64.50390625;FASTER
44;-73.1259765625;FASTER
46;-73.1259765625;FASTER
50;-68.531494140625;FASTER
52;-68.531494140625;FASTER
55;-63.63287353515625;FASTER
59;-59.40821838378906;FASTER
61;-59.40821838378906;FASTER
64;-47.102054595947266;FASTER
66;-47.102054595947266;FASTER
69;-44.775513648986816;FASTER
71;-44.775513648986816;FASTER
73;-50.193878412246704;FASTER
76;-50.193878412246704;FASTER
78;-50.193878412246704;FASTER
80;-50.193878412246704;FASTER
82;-50.193878412246704;FASTER
84;-50.193878412246704;FASTER
86;-50.193878412246704;FASTER
