timestamp;ewma;instruction
18;-58.0;FAST
22;-51.25;FAST
24;-51.25;FAST
27;-51.0625;FAST
29;-51.0625;FAST
32;-61.515625;SLOWER
34;-61.515625;SLOWER
38;-73.87890625;SLOWER
42;-76.9697265625;SLOWER
44;-76.9697265625;SLOWER
47;-76.242431640625;SLOWER
49;-76.242431640625;SLOWER
53;-76.06060791015625;SLOWER
55;-76.06060791015625;SLOWER
58;-69.26515197753906;SLOWER
60;-69.26515197753906;SLOWER
63;-60.816287994384766;SLOWER
65;-60.816287994384766;SLOWER
69;-51.20407199859619;SLOWER
71;-51.20407199859619;SLOWER
73;-45.80101799964905;SLOWER
75;-45.80101799964905;SLOWER
77;-43.70025449991226;SLOWER
79;-43.70025449991226;SLOWER
83;-43.175063624978065;SLOWER
85;-43.175063624978065;SLOWER
