timestamp;ewma;instruction
22;-22.0;BASE
24;-22.0;BASE
26;-22.0;BASE
31;-35.5;SLOW
35;-45.625;FASTER
37;-45.625;FASTER
41;-59.40625;FASTER
43;-59.40625;FASTER
47;-63.6015625;FASTER
49;-63.6015625;FASTER
52;-65.400390625;FASTER
54;-65.400390625;FASTER
57;-74.10009765625;FASTER
59;-74.10009765625;FASTER
62;-59.7750244140625;FASTER
64;-59.7750244140625;FASTER
66;-59.7750244140625;FASTER
68;-59.7750244140625;FASTER
72;-59.7750244140625;FASTER
74;-59.7750244140625;FASTER
77;-59.7750244140625;FASTER
79;-59.7750244140625;FASTER
81;-59.7750244140625;FASTER
83;-59.7750244140625;FASTER
86;-59.7750244140625;FASTER
