timestamp;ewma;instruction
37;-47.0;SLOW
42;-47.0;SLOW
47;-47.0;SLOW
52;-47.0;SLOW
57;-47.0;SLOW
62;-47.0;SLOW
68;-47.0;SLOW
77;-39.5;SLOW
82;-39.5;SLOW
88;-45.125;SLOW
93;-45.125;SLOW
98;-45.125;SLOW
108;-46.53125;SLOW
113;-46.53125;SLOW
118;-46.53125;SLOW
128;-46.8828125;SLOW
133;-46.8828125;SLOW
139;-47.720703125;SLOW
144;-47.720703125;SLOW
150;-47.18017578125;SLOW
155;-47.18017578125;SLOW
161;-47.0450439453125;SLOW
166;-47.0450439453125;SLOW
172;-47.761260986328125;SLOW
181;-39.69031524658203;SLOW
190;-37.67257881164551;SLOW
200;-44.66814470291138;SLOW
205;-44.66814470291138;SLOW
211;-47.167036175727844;SLOW
216;-47.167036175727844;SLOW
222;-39.54175904393196;SLOW
232;-46.63543976098299;SLOW
237;-46.63543976098299;SLOW
243;-46.90885994024575;SLOW
248;-46.90885994024575;SLOW
254;-47.72721498506144;SLOW
264;-47.18180374626536;SLOW
274;-39.54545093656634;SLOW
284;-46.636362734141585;SLOW
289;-46.636362734141585;SLOW
294;-46.909090683535396;SLOW
299;-46.909090683535396;SLOW
305;-47.72727267088385;SLOW
310;-47.72727267088385;SLOW
315;-39.68181816772096;SLOW
325;-41.42045454193024;SLOW
330;-41.42045454193024;SLOW
336;-46.35511363548256;SLOW
345;-47.58877840887064;SLOW
355;-39.64719460221766;SLOW
365;-37.66179865055442;SLOW
374;-44.66544966263861;SLOW
384;-38.91636241565965;SLOW
394;-37.47909060391491;SLOW
404;-37.11977265097873;SLOW
409;-37.11977265097873;SLOW
414;-44.529943162744686;SLOW
424;-47.132485790686175;SLOW
434;-47.78312144767155;SLOW
443;-47.94578036191788;SLOW
448;-47.94578036191788;SLOW
453;-39.73644509047947;SLOW
458;-39.73644509047947;SLOW
464;-45.934111272619866;SLOW
474;-39.23352781815497;SLOW
483;-45.058381954538746;SLOW
488;-45.058381954538746;SLOW
494;-39.01459548863468;SLOW
503;-38.25364887215867;SLOW
513;-37.313412218039666;SLOW
522;-44.57835305450992;SLOW
532;-47.89458826362748;SLOW
537;-47.89458826362748;SLOW
543;-47.973647065906874;SLOW
553;-39.74341176647672;SLOW
558;-39.74341176647672;SLOW
563;-39.74341176647672;SLOW
573;-45.93585294161918;SLOW
578;-45.93585294161918;SLOW
584;-39.233963235404794;SLOW
589;-39.233963235404794;SLOW
594;-37.5584908088512;SLOW
599;-37.5584908088512;SLOW
604;-37.1396227022128;SLOW
609;-37.1396227022128;SLOW
615;-44.5349056755532;SLOW
620;-44.5349056755532;SLOW
626;-47.1337264188883;SLOW
635;-47.033431604722075;SLOW
645;-47.00835790118052;SLOW
654;-39.50208947529513;SLOW
664;-45.87552236882378;SLOW
669;-45.87552236882378;SLOW
675;-47.46888059220595;SLOW
684;-47.86722014805149;SLOW
695;-39.716805037012875;SLOW
700;-39.716805037012875;SLOW
705;-37.67920125925322;SLOW
715;-45.4198003148133;SLOW
720;-45.4198003148133;SLOW
726;-39.104950078703325;SLOW
736;-37.52623751967583;SLOW
745;-37.131559379918954;SLOW
754;-44.532889844979735;SLOW
763;-41.883222461244934;SLOW
772;-40.470805615311235;SLOW
782;-43.86770140382781;SLOW
792;-55.216925350956956;FASTER
797;-55.216925350956956;FASTER
803;-52.80423133773924;FASTER
812;-59.701057834434806;FASTER
822;-67.4252644586087;FASTER
827;-67.4252644586087;FASTER
833;-47.606316114652174;FASTER
838;-47.606316114652174;FASTER
844;-48.65157902866304;FASTER
849;-48.65157902866304;FASTER
