timestamp;ewma;instruction
93;-48;SLOW
103;-46;SLOW
112;-38;SLOW
121;-39;SLOW
126;-39;SLOW
132;-40;SLOW
137;-40;SLOW
143;-40;SLOW
152;-40;SLOW
157;-40;SLOW
162;-37;SLOW
172;-37;SLOW
177;-37;SLOW
182;-36;SLOW
187;-36;SLOW
193;-36;SLOW
198;-36;SLOW
204;-39;SLOW
213;-36;SLOW
223;-39;SLOW
233;-39;SLOW
243;-38;SLOW
252;-38;SLOW
257;-38;SLOW
263;-41;SLOW
273;-38;SLOW
282;-41;SLOW
291;-40;SLOW
301;-42;SLOW
311;-38;SLOW
321;-38;SLOW
326;-38;SLOW
331;-38;SLOW
336;-38;SLOW
342;-38;SLOW
351;-38;SLOW
356;-38;SLOW
361;-39;SLOW
370;-39;SLOW
375;-39;SLOW
381;-42;SLOW
390;-42;SLOW
395;-42;SLOW
401;-39;SLOW
406;-39;SLOW
412;-42;SLOW
417;-42;SLOW
423;-42;SLOW
433;-38;SLOW
438;-38;SLOW
444;-39;SLOW
449;-39;SLOW
455;-38;SLOW
464;-38;SLOW
473;-39;SLOW
483;-37;SLOW
488;-37;SLOW
494;-37;SLOW
503;-38;SLOW
513;-38;SLOW
522;-37;SLOW
532;-37;SLOW
537;-37;SLOW
542;-37;SLOW
551;-37;SLOW
561;-37;SLOW
570;-37;SLOW
575;-37;SLOW
580;-37;SLOW
585;-37;SLOW
591;-37;SLOW
596;-37;SLOW
601;-38;SLOW
606;-38;SLOW
612;-41;SLOW
622;-39;SLOW
627;-39;SLOW
632;-39;SLOW
642;-39;SLOW
651;-40;SLOW
660;-40;SLOW
665;-40;SLOW
671;-37;SLOW
676;-37;SLOW
681;-38;SLOW
690;-38;SLOW
695;-38;SLOW
701;-38;SLOW
711;-38;SLOW
716;-38;SLOW
721;-38;SLOW
726;-38;SLOW
731;-39;SLOW
740;-37;SLOW
750;-42;SLOW
755;-42;SLOW
760;-40;SLOW
770;-41;SLOW
779;-40;SLOW
789;-39;SLOW
798;-40;SLOW
808;-38;SLOW
813;-38;SLOW
818;-38;SLOW
823;-38;SLOW
828;-40;SLOW
838;-41;SLOW
843;-41;SLOW
848;-41;SLOW
853;-41;SLOW
859;-41;SLOW
864;-41;SLOW
870;-41;SLOW
879;-41;SLOW
888;-41;SLOW
898;-41;SLOW
908;-41;SLOW
913;-41;SLOW
919;-41;SLOW
928;-41;SLOW
938;-41;SLOW
947;-41;SLOW
952;-41;SLOW
958;-41;SLOW
968;-41;SLOW
973;-41;SLOW
979;-41;SLOW
988;-41;SLOW
993;-41;SLOW
999;-41;SLOW
1004;-41;SLOW
1009;-41;SLOW
1014;-41;SLOW
1019;-41;SLOW
1029;-41;SLOW
1039;-41;SLOW
1044;-41;SLOW
1050;-41;SLOW
1059;-41;SLOW
